"Regulating Agency","County Served","PWS","PWS Name","Facility ID","Facility Name","Sample Date","Received Date","Analyte Abbreviation","Analyte Name","Result (ng/L)","MRL (ng/L)","Sample ID"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.8","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","21.5","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","21.5","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.8","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","10.8","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","10.8","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.5","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","21.5","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","21.5","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00067","AURORA, CITY OF","EP-A","EP FOR PARK WELLS (WELL #4, #3 & #5)","05/02/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.31","2305039-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","11.6","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","11.6","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","23.2","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","23.2","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","11.6","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","11.6","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","11.6","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","23.2","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","23.2","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","23.2","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.63","2305038-01"
"MARION COUNTY","Marion","00762","BREWSTER COMMUNITY HOMEOWNERS","EP-A","EP for WELL","05/02/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.63","2305038-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.8","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.8","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","21.6","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","21.6","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.8","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","10.8","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","10.8","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.6","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","21.6","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","21.6","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.32","2305040-01"
"CLACKAMAS COUNTY","Clackamas","93970","CARUS ELEMENTARY","EP-A","EP for WELL","05/02/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.32","2305040-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.7","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.7","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","21.4","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","21.4","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.7","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","10.7","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","10.7","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.4","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","21.4","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","21.4","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.28","2305044-01"
"REGION 1","Multnomah","00296","FAIRVIEW, CITY OF","EP-F","EP FOR WELL #5 AND #9","05/02/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.28","2305044-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","12.2","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","12.2","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","24.5","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","24.5","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","12.2","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","12.2","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","12.2","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","24.5","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","24.5","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFNA","Perfluorononanoic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFOA","Perfluorooctanoic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFOS","Perfluorooctanesulfonic acid","10.6","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFPeA","Perfluoropentanoic acid","ND","24.5","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.89","2305042-01"
"MULTNOMAH COUNTY","Multnomah","00984","MOBILE VILLAGE INC","EP-A","EP FOR WELL","05/02/2023","06/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.89","2305042-01"
"REGION 1","Clackamas","00461","RIVERGROVE WATER DISTRICT","EP-A","EP FOR WELL #1","05/02/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.43","2305041-01"
"REGION 1","Clackamas","00461","RIVERGROVE WATER DISTRICT","EP-A","EP FOR WELL #1","05/02/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.43","2305041-01"
"REGION 1","Clackamas","00461","RIVERGROVE WATER DISTRICT","EP-A","EP FOR WELL #1","05/02/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.43","2305041-01"
